college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college,ec_parent_ses_college_quartile,bias_own_ses_college_quartile,change_ses
231400,Saginaw Valley State University,48710,26145,958.3333333333334,1.3802,0.02196,1.06909,0.02517,1.6540101,0.01483,1.17926,0.02341,1.45365,1.08219,0.050530002,0.01211,-0.13783,-0.08969,0.21125001,0.98764002,0.074239999,2,4,1.04392
231500,Schoolcraft College,48152,26163,1723.666666666667,1.48237,0.02661,1.20705,0.030440001,1.62761,0.01733,1.29336,0.02691,1.48131,1.21855,-0.00072,0.00943,-0.09877,-0.0614,0.21065,0.96319002,0.063280001,3,3,1.176609999
231600,Siena Heights University,49221,26091,171,1.49483,0.039999999,1.19845,0.05545,1.58652,0.03173,1.2726901,0.048269998,1.43766,1.21731,-0.039760001,0.01549,-0.10354,-0.045499999,0.40382001,0.99866003,0.059769999,3,1,1.143
231700,Southwestern Michigan College,49047,26027,511.3333333333333,1.1472,0.033799998,0.89107001,0.040119998,1.30926,0.028960001,0.92905998,0.040320002,1.12335,0.87187999,-0.021229999,-0.02201,-0.1655,-0.065580003,0.28615999,0.98343998,0.08907,2,1,0.850950012
231800,Spring Arbor University,49283,26075,212.6666666666667,1.69792,0.03009,1.32477,0.0359,1.76985,0.020959999,1.35447,0.033459999,1.62308,1.29363,-0.04611,-0.02407,-0.09042,-0.047029998,0.33956,0.99848002,0.11135,3,1,1.28887
232200,Finlandia University,49930,26061,,1.28383,0.071529999,0.88139999,0.087269999,1.46339,0.061790001,0.93667001,0.097620003,1.2673,0.83914,-0.01304,-0.050349999,-0.15474001,-0.11622,0.42802,0.99654001,0.085819997,1,2,0.794129991
232300,University of Detroit Mercy,48221,26163,358,1.5207601,0.039269999,1.35489,0.050209999,1.70073,0.02437,1.44669,0.040589999,1.586,1.32038,0.041129999,-0.02613,-0.072339997,-0.095660001,0.34858,0.99447,0.058400001,3,4,1.304680001
232500,University of Michigan-Ann Arbor,48109,26161,5068.333333333333,1.60715,0.016550001,1.46328,0.01675,1.85666,0.00604,1.6288199,0.01099,1.7448,1.52098,0.078900002,0.037939999,-0.064110003,-0.070900001,0.17824,0.99344999,0.08935,4,4,1.44653
232600,University of Michigan-Dearborn,48128,26163,700.3333333333334,1.5951999,0.035810001,1.34925,0.048149999,1.71631,0.02379,1.41492,0.040119998,1.64158,1.3091201,0.02825,-0.030649999,-0.04552,-0.080810003,0.25707999,0.97008002,0.074660003,3,4,1.301100001
232700,University of Michigan-Flint,48502,26049,567.3333333333334,1.18215,0.031750001,1.06884,0.0383,1.5134,0.02506,1.21174,0.035519999,1.33094,1.08283,0.11179,0.01292,-0.13709,-0.11905,0.26227999,0.97845,0.068290003,2,4,1.03054
232800,Washtenaw Community College,48105,26161,1627.333333333333,1.28369,0.025690001,1.06635,0.033429999,1.4844199,0.01981,1.165,0.033,1.31578,1.0828,0.024390001,0.01519,-0.12816,-0.075910002,0.23344,0.96710998,0.077119999,2,3,1.032920001
